,Human Longitude,Human Latitude,Human Acres Burned
2659,-124.23709,43.21127,0.02
2906,-124.237,43.22537,0.01
16324,-124.23694,43.37528,0.25
16220,-124.23611,43.17889,0.01
5657,-124.23611,43.24611,0.1
9323,-124.23611,43.17889,0.02
2471,-124.23578,43.33842,0.02
10178,-124.23556,42.55028,0.25
14386,-124.23322,43.36458,0.01
15371,-124.23322,43.36458,0.01
766,-124.2328,43.20773,4.0
6852,-124.23278,43.10694,0.1
13577,-124.23278,43.10639,4.3
6864,-124.2325,43.43889,0.01
13896,-124.23222,43.19667,0.01
13829,-124.23214,43.24442,0.16
7482,-124.23167,43.28278,0.01
2619,-124.23025,43.44308,0.25
8815,-124.22972,43.3675,0.01
2728,-124.22897,42.03861,0.25
11876,-124.22889,43.27333,0.01
14585,-124.22842,43.45925,0.01
11214,-124.22833,43.45889,0.01
7017,-124.22833,42.06556,0.01
3425,-124.22798,43.17157,0.02
4702,-124.227,43.2575,1.5
756,-124.22667,42.83667,0.01
2038,-124.22661,43.27135,0.01
3522,-124.22661,43.27135,0.01
11353,-124.22556,43.48028,0.01
12114,-124.22556,42.0625,0.06
6158,-124.22528,43.335,0.01
12721,-124.225,43.33333,0.01
8596,-124.22472,43.47667,0.01
14690,-124.22456,42.81017,7.0
15159,-124.22444,43.47694,0.01
2765,-124.22424,42.09328,0.25
13090,-124.22361,43.345,0.02
12985,-124.22361,43.24306,0.02
1526,-124.22357,43.12106,0.01
2400,-124.22349,43.19358,0.18
12988,-124.22333,43.24306,0.01
15301,-124.2225,43.25833,0.01
16679,-124.22222,43.29639,0.01
9491,-124.22222,43.53028,0.16
711,-124.22202,43.25762,0.01
980,-124.22202,43.25762,0.01
17037,-124.22167,42.11972,0.25
4724,-124.22167,43.30033,0.05
7421,-124.22139,43.50194,0.01
11249,-124.22139,42.12028,0.25
6758,-124.22028,43.49028,0.01
14244,-124.21972,43.49222,0.01
12320,-124.21972,43.09583,0.35
11839,-124.21972,43.49306,0.01
16988,-124.21944,43.49333,1.11
11944,-124.21944,43.51806,0.01
