,Lightning Longitude,Lightning Latitude,Lightning Acres Burned
2222,-123.45806,42.29306,0.01
1618,-123.458,43.541,0.1
220,-123.45782,42.57375,0.01
315,-123.45772,42.58816,0.25
311,-123.45772,42.58816,0.01
6185,-123.45694,42.93167,0.01
1206,-123.45687,44.82774,0.1
3797,-123.45667,42.79917,0.25
5830,-123.45616,43.81269,0.15
3658,-123.45528,42.65917,0.25
5620,-123.45337,43.038,0.01
1097,-123.4533,44.43124,0.25
2454,-123.45278,42.56889,0.01
5823,-123.45233,44.71931,0.02
1,-123.45211,43.78262,0.01
1207,-123.4518,44.79489,0.01
2765,-123.44889,44.15583,0.1
1282,-123.44837,42.31261,0.01
2924,-123.44833,42.82917,0.1
109,-123.44813,42.63204,0.25
2314,-123.4475,42.23389,1.0
6182,-123.4475,42.72517,0.1
5818,-123.44444,43.87167,0.01
3087,-123.44417,42.75528,0.1
3578,-123.44389,44.28028,0.5
2200,-123.44361,42.24139,0.1
6024,-123.44361,43.74833,2.0
336,-123.44302,42.58803,0.1
4441,-123.44278,42.87583,0.5
3669,-123.44278,42.73028,0.01
5603,-123.44266,42.2729,0.75
6126,-123.44247,42.7068,0.01
5202,-123.44083,43.74139,1.74
5560,-123.44081,42.26113,0.01
4730,-123.44028,42.90111,0.1
2449,-123.43972,42.135,18.0
4070,-123.43917,44.44444,0.1
3702,-123.43861,42.70444,248.2
3700,-123.43611,42.68111,4.0
5580,-123.43558,42.55867,0.01
3944,-123.43556,42.4075,0.01
5947,-123.43408,42.55697,0.1
1580,-123.434,44.13083,0.02
1283,-123.4337,42.3735,8.0
240,-123.43358,42.32254,0.25
1277,-123.43352,42.28138,0.1
2182,-123.43333,42.26333,0.1
3604,-123.43278,42.37917,0.1
4088,-123.43167,44.24083,0.01
3597,-123.42972,42.36667,0.01
5016,-123.42915,42.51513,0.2
1069,-123.42913,42.81369,0.1
148,-123.4288,43.48504,0.07
728,-123.42849,43.38344,3.5
1083,-123.42848,42.64287,0.01
3063,-123.42667,42.49472,0.01
4597,-123.42528,43.705,0.1
241,-123.42392,42.34427,0.25
5596,-123.42333,42.73972,0.01
1208,-123.42202,44.88223,0.1
1878,-123.42133,43.831,1.25
2970,-123.41917,42.97972,0.25
6167,-123.41833,42.915,0.01
2246,-123.41806,42.71778,0.1
4872,-123.41667,42.78194,0.01
4076,-123.41472,44.48167,0.01
1071,-123.41397,42.97616,0.01
307,-123.41366,42.55898,0.01
2305,-123.41361,42.795,0.01
5556,-123.41176,42.71213,0.08
5623,-123.40962,43.49617,0.2
4787,-123.40889,44.33972,0.01
605,-123.40673,44.4349,0.1
1096,-123.40659,44.39468,0.2
1145,-123.40566,44.48529,0.01
2450,-123.405,42.19222,0.01
5622,-123.40457,42.36543,0.01
5651,-123.40453,43.3563,0.01
99,-123.40349,42.33734,0.01
5184,-123.40336,42.66401,0.1
5816,-123.4025,45.21083,0.1
4065,-123.40222,46.07083,0.01
3108,-123.40222,42.84361,0.5
5211,-123.40217,42.24617,229.78
3326,-123.39917,43.35778,0.1
2195,-123.39917,42.35944,0.01
5832,-123.39783,42.69005,0.01
5943,-123.39657,42.57701,0.6
3493,-123.395,42.89528,0.01
556,-123.39462,44.36935,0.25
6155,-123.39417,42.66783,0.2
238,-123.39402,42.323,1.25
6144,-123.39383,42.59083,0.1
4416,-123.39222,44.53028,0.01
3066,-123.39167,42.65333,0.1
3614,-123.39139,42.60472,0.5
2277,-123.39083,43.49361,0.1
3599,-123.39083,42.79833,0.5
3950,-123.39028,42.36139,0.01
2229,-123.39,42.72833,0.01
3538,-123.38972,42.73194,0.25
1695,-123.3895,44.17083,0.01
246,-123.38915,42.457,0.01
5262,-123.38908,42.3298,0.75
866,-123.38888,42.59182,0.01
245,-123.38867,42.38069,0.1
4439,-123.38861,42.91083,0.1
2254,-123.38833,42.76222,0.01
5263,-123.38748,42.3252,0.18
3701,-123.38472,42.80444,0.25
252,-123.38445,42.50371,0.01
3086,-123.38444,42.38417,0.01
1119,-123.38385,45.54117,0.01
2864,-123.38333,42.16528,0.1
1886,-123.38333,44.45,0.1
6136,-123.38325,42.59478,0.01
2178,-123.37972,42.30861,2.0
2210,-123.37889,42.55889,0.01
6145,-123.37688,42.63029,0.25
620,-123.37659,44.58708,7.5
6012,-123.37542,44.01839,0.12
2201,-123.375,42.31611,0.01
5267,-123.37494,42.5461,0.25
377,-123.37456,42.4751,0.1
936,-123.37439,45.157,117.0
239,-123.37438,42.36655,0.01
5243,-123.37418,42.2502,0.1
3084,-123.37389,42.67778,0.1
286,-123.37386,42.60266,0.1
5216,-123.37333,42.46148,0.01
1688,-123.37283,43.81033,1.6
5616,-123.3715,43.4933,0.01
4907,-123.37056,45.62306,0.01
4902,-123.37028,43.00806,0.01
6151,-123.37013,42.59103,0.18
933,-123.36987,44.96161,0.1
1573,-123.36916,42.33766,0.01
2885,-123.36889,45.26778,0.01
3598,-123.36833,42.86278,0.3
6143,-123.366,42.645,0.01
5548,-123.3657,42.59992,0.69
229,-123.36504,42.75563,0.01
2221,-123.36472,42.71194,0.01
267,-123.36439,42.35581,0.01
2474,-123.36417,42.76611,1.0
2186,-123.36417,42.18639,0.1
5234,-123.36407,42.26288,0.45
5173,-123.36361,42.29056,0.01
5615,-123.36342,43.89545,0.14
2228,-123.35972,42.515,0.01
6073,-123.35967,42.32183,0.4
1247,-123.35962,42.33761,0.01
1708,-123.359,42.76833,0.05
1381,-123.35888,42.98266,0.1
3823,-123.35667,42.19972,0.2
1185,-123.35614,44.63412,0.1
3390,-123.35611,42.52639,0.2
578,-123.35589,44.39151,0.01
2498,-123.35361,43.96333,0.3
6074,-123.353,42.32833,1.5
4904,-123.35167,43.02667,0.1
3822,-123.35167,42.1675,0.01
6154,-123.35065,42.3415,0.13
3325,-123.35056,44.74528,0.1
950,-123.35039,42.21264,0.25
939,-123.35022,42.20902,0.01
1259,-123.35011,42.32324,0.25
937,-123.35005,42.20541,0.01
90,-123.34941,42.34895,0.01
5226,-123.34925,42.55633,1.0
4574,-123.34861,42.58056,1.6
963,-123.34852,44.22104,0.0
3962,-123.34833,42.18639,0.1
6072,-123.34683,42.3425,0.01
6135,-123.34633,42.65143,0.25
619,-123.34599,42.24124,0.1
5013,-123.34525,42.46588,0.1
2280,-123.34444,42.59861,0.1
5471,-123.34363,45.62791,0.1
5867,-123.34312,42.14722,0.01
4714,-123.3425,42.75806,0.25
5591,-123.34129,43.78042,0.97
221,-123.34031,42.77375,0.01
2270,-123.33972,42.48611,0.01
6137,-123.33967,42.59683,0.65
6142,-123.33948,42.61245,0.32
6070,-123.33934,42.31537,1.4
2699,-123.33889,43.33722,0.1
964,-123.33868,44.17041,0.02
3341,-123.33861,42.54306,0.1
2675,-123.33861,44.63722,0.2
6132,-123.33855,42.55175,0.75
4316,-123.33833,45.13444,1.2
5549,-123.33797,42.20727,0.25
1703,-123.33722,45.66111,0.1
3946,-123.33694,42.55111,0.01
1928,-123.33683,42.695,0.01
3869,-123.33667,42.91972,0.01
4785,-123.33361,44.67194,0.11
2664,-123.33306,45.43917,0.5
2669,-123.33194,45.43944,0.25
2215,-123.33139,43.315,0.01
4518,-123.33083,43.26028,0.01
2781,-123.33083,44.25444,0.01
1072,-123.33057,42.70164,0.1
782,-123.32749,43.10384,0.9
6138,-123.32713,42.61638,0.15
2734,-123.32694,43.04889,0.01
250,-123.32583,42.59508,0.1
1158,-123.32556,44.52476,1.0
3064,-123.32528,42.53361,0.01
274,-123.32475,42.36987,0.1
5217,-123.32437,42.51395,0.01
5403,-123.3203,43.57817,0.01
1933,-123.3195,42.65433,0.5
4485,-123.31833,42.325,0.1
5272,-123.31789,42.52765,0.25
6071,-123.3173,42.36083,1.0
6152,-123.31683,42.49163,6.54
2684,-123.31667,42.51556,0.5
4407,-123.31639,42.1425,0.5
4491,-123.31611,42.14444,0.2
347,-123.31586,42.16857,0.01
292,-123.31492,42.13306,0.01
4406,-123.31167,42.13,2.5
2678,-123.30833,43.79917,0.25
5602,-123.30825,43.19012,0.01
3608,-123.30722,42.69306,1.0
3421,-123.30639,42.47167,0.25
3610,-123.30611,43.20556,0.01
353,-123.30542,42.2968,0.01
317,-123.30542,42.2968,0.01
5564,-123.305,42.37662,0.01
4676,-123.30222,42.6925,0.25
4549,-123.30167,42.25278,0.01
614,-123.30156,42.25257,0.75
727,-123.29871,42.91427,4.16
2220,-123.29583,42.46417,0.5
89,-123.29581,42.28209,0.01
354,-123.29567,42.29705,0.01
2483,-123.295,42.29111,0.01
5484,-123.29389,42.97694,0.25
6129,-123.29383,42.58117,1.2
3055,-123.29333,42.13,0.7
5225,-123.29163,42.52203,0.25
935,-123.29132,45.3812,0.1
5404,-123.29111,43.78944,0.01
342,-123.2911,42.50064,0.01
4481,-123.29083,42.12972,0.15
6133,-123.29017,42.58017,0.5
3397,-123.29,42.8275,0.1
3395,-123.29,42.8275,0.25
4551,-123.28889,42.90111,0.1
6147,-123.288,42.62683,6.16
2750,-123.28639,42.41361,0.01
5921,-123.28563,42.19378,0.01
3107,-123.28444,42.61861,0.1
1188,-123.28349,44.81629,0.1
5428,-123.28139,43.88722,1.79
2661,-123.28056,45.29556,0.12
5277,-123.27962,42.58255,0.07
3531,-123.27861,42.68361,0.1
5547,-123.2784,42.29833,0.01
2775,-123.27778,45.45333,0.25
5393,-123.277,43.70934,0.01
4533,-123.27639,42.99667,0.01
290,-123.27629,42.30061,0.1
3945,-123.27528,42.44722,0.01
5481,-123.27512,42.3024,0.01
1576,-123.2745,43.11183,0.01
1875,-123.2715,43.4705,0.01
1104,-123.27112,45.55854,0.01
6127,-123.27108,42.59322,0.01
365,-123.27108,42.53323,0.01
4674,-123.27028,42.45222,0.01
6134,-123.2685,42.59328,1.6
6124,-123.26797,42.60788,0.1
2242,-123.26778,43.07972,1.66
4889,-123.26734,42.43818,0.1
306,-123.26691,42.17964,0.01
1155,-123.26688,45.31628,0.01
1619,-123.2665,45.21716,0.03
